car_type,year,price,km,photo_url,prediccion
TESLA - MODEL Y,2023,30990,53000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/2221c42c-5571-4813-8e8c-508ca5e516ef?rule=hw396_70,bueno
TESLA - MODEL Y,2023,43000,31000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/929c645e-7931-4113-a1e5-967a9ee5cc52?rule=hw396_70,neutral
TESLA - MODEL Y,2023,37000,30627,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/d7493a86-b88a-4989-9893-1fbce3c65cf6?rule=hw396_70,malo
TESLA - MODEL Y,2023,32950,24447,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/1da3b778-da9b-4c2c-b616-62f94508be71?rule=hw396_70,bueno
TESLA - MODEL Y,2022,35990,67000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/f6d55df9-6049-48ad-8190-ff0d10e4cbe1?rule=hw396_70,bueno
TESLA - MODEL Y,2021,34900,56000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/beb4f196-b587-4904-a6f9-334b484f0d72?rule=hw396_70,bueno
TESLA - MODEL Y,2023,29900,48475,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/d1493795-7a7a-44c2-ae13-46884df0c1c1?rule=hw396_70,malo
TESLA - MODEL Y,2023,44990,16600,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/c50cd8a7-86fe-461a-997d-a4bdc16fe069?rule=hw396_70,malo
TESLA - MODEL Y,2023,34900,84413,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/0aa6c0ce-fc58-492e-a92b-067a96d2f640?rule=hw396_70,bueno
TESLA - MODEL Y,2022,34500,66000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/6e0fd7c5-cdf3-444d-93bb-3e4ccf26eaff?rule=hw396_70,bueno
TESLA - MODEL Y,2021,37850,8500,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/ba8dce47-cb3b-4886-97ed-1e80a5c3f2d9?rule=hw396_70,bueno
TESLA - MODEL Y,2023,34990,36242,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/efdb55ae-0ca2-478d-ba7c-31cc82e98846?rule=hw396_70,bueno
TESLA - MODEL 3,2023,37000,38300,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/7e0f05a5-5a64-46ae-bf98-f530de2a1ad3?rule=hw396_70,bueno
TESLA - MODEL 3,2020,29800,175000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/8a4653be-2043-45b9-92ab-861bc56d2c5b?rule=hw396_70,bueno
TESLA - MODEL 3,2019,21900,103000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/5ed0c265-6585-4d2f-92ef-74cc6ec3ee3f?rule=hw396_70,neutral
TESLA - MODEL 3,2019,29990,103000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/1f9dc2f1-7ba4-49c6-b144-98be9b257ab0?rule=hw396_70,bueno
TESLA - MODEL 3,2021,24900,250000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/24e0a842-0270-4495-88c4-73e914d5b0a0?rule=hw396_70,malo
TESLA - MODEL 3,2019,25000,112000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/2a88bc3b-59d8-4265-bee3-094c5549e21d?rule=hw396_70,neutral
TESLA - MODEL S,2017,19000,245000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/2816cef3-338a-4a4f-9b25-9dd7a8c3dda6?rule=hw396_70,bueno
TESLA - MODEL 3,2020,24990,149500,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/84f44861-2ace-4411-bade-135b23232f1e?rule=hw396_70,malo
TESLA - MODEL S,2017,29600,220002,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/f0d9be20-46f5-4dc4-805e-122445f45196?rule=hw396_70,neutral
TESLA - MODEL 3,2019,18999,132000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/e96a3d77-c19a-419a-ae6f-319ad4f670e0?rule=hw396_70,neutral
TESLA - MODEL 3,2024,54990,6613,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/404694b9-f138-4d5a-9226-00ef608a50cd?rule=hw396_70,neutral
TESLA - MODEL 3,2022,29890,39398,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/621d42dc-f0fe-4c97-b800-9b5026957b71?rule=hw396_70,bueno
TESLA - MODEL 3,2019,19750,137000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/88ca8116-24fb-442d-b216-23d7ad0f0143?rule=hw396_70,neutral
TESLA - MODEL 3,2024,35990,16185,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/1b1c9fce-206d-4f27-bf5e-d9fbae00cc9b?rule=hw396_70,bueno
TESLA - MODEL 3,2019,21990,120000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/ec370830-4ddb-4d9f-8c4e-e1fbc7b9c332?rule=hw396_70,bueno
TESLA - MODEL 3,2023,35890,55852,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/e6ba6ba3-418b-4886-86a6-52c89a35a962?rule=hw396_70,neutral
TESLA - MODEL 3,2019,23990,167000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/0df31677-ce9f-4b5d-aa92-ebfd1e7dae23?rule=hw396_70,malo
TESLA - MODEL 3,2020,24990,45063,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/7163570a-5dbf-46c8-8468-8ef335ea3762?rule=hw396_70,bueno
TESLA - MODEL 3,2021,36990,80000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/d69d88b1-1cff-42af-869d-6645345afc2a?rule=hw396_70,bueno
TESLA - MODEL 3,2019,24490,90000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/871127dc-0c2b-4937-9e13-2fa824c05128?rule=hw396_70,malo
TESLA - MODEL 3,2019,24990,171000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/56f4f81a-68b4-4296-a3c7-a4971839b84e?rule=hw396_70,malo
TESLA - MODEL 3,2020,21999,136596,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/9926b54c-2deb-4a81-8619-c7ee12622f0b?rule=hw396_70,bueno
TESLA - MODEL 3,2022,34900,44580,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/cde69ccb-410c-4bd4-af21-c57553c4630b?rule=hw396_70,malo
TESLA - MODEL 3,2019,23990,164000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/0f559497-95a4-443f-9bfe-39123ba42315?rule=hw396_70,malo
TESLA - MODEL 3,2019,24300,138000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/4e480a9b-2bda-40b4-83d3-bbf782678ed9?rule=hw396_70,bueno
TESLA - MODEL 3,2020,22999,83000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/60bed38c-bdf5-4acb-b53e-0b7d8cc024c4?rule=hw396_70,bueno
TESLA - MODEL 3,2019,23500,125000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/0b705f34-afd3-42ca-a7ca-4d149c9af1f2?rule=hw396_70,malo
TESLA - MODEL 3,2020,27900,14000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/149fed61-7a05-46b9-9050-1b1d6b546686?rule=hw396_70,bueno
TESLA - MODEL 3,2020,26000,120000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/0bacca6a-649d-4c5e-b00f-088588361a3c?rule=hw396_70,bueno
TESLA - MODEL 3,2019,21100,84000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/ab441b4b-ffa4-4ba1-bc22-3b85f8ce98be?rule=hw396_70,malo
TESLA - MODEL 3,2021,26990,143000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/b2eab14d-4bd8-40f9-aeaf-ffe4d981aca3?rule=hw396_70,bueno
TESLA - MODEL 3,2020,20500,199123,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/c5938254-7f75-4e7d-b2c9-9106af10529b?rule=hw396_70,bueno
TESLA - MODEL 3,2020,26999,99800,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/8aa6b72f-319b-4d03-844c-89a33303b980?rule=hw396_70,bueno
TESLA - MODEL 3,eléctrico,8000,2024,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/4521a3ee-66be-49bd-b51b-0c26fd67c3cf?rule=hw396_70,bueno
TESLA - MODEL 3,2023,32900,96000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/517bfaa2-7d40-4660-99e5-fcb0a9afad91?rule=hw396_70,bueno
TESLA - MODEL 3,2022,29890,39398,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/621d42dc-f0fe-4c97-b800-9b5026957b71?rule=hw396_70,bueno
TESLA - MODEL 3,2019,19750,137000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/88ca8116-24fb-442d-b216-23d7ad0f0143?rule=hw396_70,neutral
TESLA - MODEL 3,2019,24900,75000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/56a54ae6-2e82-4dd6-b0e0-c1eea0c60cef?rule=hw396_70,bueno
TESLA - MODEL 3,2024,35990,16185,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/1b1c9fce-206d-4f27-bf5e-d9fbae00cc9b?rule=hw396_70,bueno
TESLA - MODEL 3,2019,21990,120000,https://images.milanuncios.com/api/v1/ma-ad-media-pro/images/ec370830-4ddb-4d9f-8c4e-e1fbc7b9c332?rule=hw396_70,bueno
