car_type,year,price,km,prediccion,color
BMW - SERIE 1,2024.0,33990.0,25852.0,neutral,red
BMW - X1,2020.0,22990.0,145254.0,neutral,tan
AUDI - Q3,2020.0,32990.0,101546.0,neutral,tan
BMW - SERIE 4,2021.0,42590.0,64550.0,neutral,blue
BMW - SERIE 1,2022.0,19390.0,74620.0,neutral,blue
BMW - Z4,2023.0,59990.0,16215.0,neutral,beige
AUDI - Q3,2021.0,23590.0,144770.0,neutral,black
BMW - X1,2020.0,23590.0,117667.0,neutral,blue
BMW - SERIE 2,2021.0,29990.0,102865.0,neutral,blue
AUDI - A3,2022.0,25290.0,59300.0,neutral,blue
BMW - X1,2018.0,22790.0,117130.0,neutral,blue
BMW - SERIE 3,2020.0,34890.0,66011.0,neutral,beige
BMW - X3,2020.0,31490.0,132819.0,neutral,white
AUDI - Q5,2020.0,31990.0,93133.0,neutral,beige
BMW - SERIE 4,2024.0,43990.0,14427.0,neutral,beige
AUDI - A6,2018.0,29490.0,77224.0,neutral,black
AUDI - Q5,2022.0,44390.0,40215.0,neutral,blue
BMW - SERIE 7,2017.0,32690.0,132713.0,neutral,brown
BMW - SERIE 1,2021.0,19990.0,81557.0,neutral,tan
BMW - I3,2017.0,16490.0,47100.0,neutral,tan
BMW - SERIE 4,2016.0,22490.0,94800.0,neutral,black
AUDI - A1,2018.0,15990.0,127000.0,neutral,tan
BMW - SERIE 5,2019.0,26990.0,112954.0,neutral,black
BMW - SERIE 2,2016.0,13790.0,133132.0,neutral,tan
BMW - X4,2022.0,46390.0,50000.0,neutral,grey
AUDI - Q5,2020.0,28490.0,102333.0,neutral,black
AUDI - A4,2023.0,34490.0,46151.0,neutral,tan
AUDI - Q3,2018.0,23490.0,122500.0,neutral,tan
BMW - SERIE 1,2020.0,21290.0,68552.0,neutral,blue
BMW - X2,2018.0,21590.0,48000.0,neutral,beige
BMW - SERIE 3,2017.0,17390.0,111000.0,neutral,grey
AUDI - A1,2021.0,20590.0,90000.0,neutral,grey
AUDI - A3,2021.0,23890.0,93650.0,neutral,blue
AUDI - Q7,2017.0,39590.0,122000.0,neutral,blue
BMW - X1,2020.0,18390.0,171804.0,neutral,black
BMW - SERIE 2,2021.0,28490.0,79224.0,neutral,blue
BMW - SERIE 2,2022.0,33490.0,41946.0,neutral,blue
BMW - SERIE 1,2023.0,29790.0,28334.0,neutral,black
BMW - Z4,2022.0,38790.0,50212.0,neutral,black
BMW - SERIE 1,2022.0,19990.0,76422.0,neutral,blue
BMW - X1,2024.0,43990.0,10714.0,neutral,black
BMW - SERIE 2,2020.0,28990.0,54200.0,neutral,blue
AUDI - Q3,2020.0,34990.0,74554.0,neutral,blue
AUDI - A3,2021.0,26990.0,72245.0,neutral,black
BMW - SERIE 4,2020.0,39490.0,96341.0,neutral,blue
BMW - SERIE 4,2020.0,29990.0,53545.0,neutral,blue
AUDI - A1,2020.0,19590.0,61717.0,neutral,blue
BMW - SERIE 2,2020.0,29990.0,73500.0,neutral,blue
AUDI - Q3,2016.0,21490.0,74251.0,neutral,grey
BMW - SERIE 3,2015.0,16490.0,141467.0,neutral,blue
BMW - SERIE 2,2021.0,27990.0,85014.0,neutral,blue
BMW - X3,2019.0,28490.0,108844.0,neutral,black
AUDI - Q3,2021.0,28690.0,117973.0,neutral,grey
AUDI - Q5,2019.0,30490.0,90001.0,neutral,black
BMW - SERIE 3,2019.0,23490.0,133641.0,neutral,grey
AUDI - A3,2016.0,16470.0,134974.0,neutral,grey
BMW - SERIE 1,2022.0,22990.0,85909.0,neutral,black
AUDI - A1,2017.0,12990.0,69162.0,neutral,blue
AUDI - Q5,2018.0,26990.0,140857.0,neutral,white
AUDI - Q5,2020.0,35490.0,65820.0,neutral,red
AUDI - A3,2021.0,27590.0,33000.0,neutral,grey
BMW - SERIE 4,2017.0,22990.0,102000.0,neutral,black
AUDI - A3,2020.0,24390.0,111500.0,neutral,grey
AUDI - A1,2019.0,24690.0,22000.0,neutral,tan
BMW - SERIE 1,2017.0,14990.0,147470.0,neutral,black
BMW - X5,2016.0,26790.0,145100.0,neutral,brown
AUDI - Q3,2020.0,33690.0,53414.0,neutral,black
BMW - X4,2021.0,36990.0,169363.0,malo,red
AUDI - Q2,2017.0,20490.0,118945.0,neutral,blue
BMW - X3,2017.0,25490.0,105560.0,neutral,blue
AUDI - Q5,2022.0,50490.0,39000.0,neutral,tan
AUDI - A3,2022.0,28490.0,41075.0,neutral,grey
AUDI - A3,2020.0,21990.0,122000.0,neutral,blue
BMW - SERIE 1,2023.0,30490.0,28500.0,neutral,tan
BMW - X1,2023.0,39990.0,76566.0,neutral,white
BMW - SERIE 1,2021.0,30990.0,12654.0,neutral,white
AUDI - Q3,2017.0,19990.0,118156.0,neutral,black
BMW - SERIE 4,2018.0,24990.0,138806.0,neutral,black
BMW - SERIE 1,2021.0,18990.0,129989.0,neutral,black
BMW - SERIE 2,2019.0,16990.0,99444.0,neutral,blue
BMW - SERIE 4,2024.0,47990.0,22249.0,neutral,red
BMW - SERIE 1,2022.0,21490.0,76942.0,neutral,blue
AUDI - A4,2021.0,23990.0,55000.0,neutral,blue
AUDI - Q2,2020.0,20990.0,59000.0,neutral,grey
BMW - SERIE 1,2020.0,18090.0,115109.0,neutral,grey
BMW - SERIE 1,2019.0,16590.0,141300.0,neutral,tan
AUDI - A3,2018.0,19790.0,110000.0,neutral,grey
BMW - X2,2021.0,26190.0,59900.0,neutral,blue
AUDI - Q3,2021.0,24790.0,104300.0,neutral,blue
AUDI - A3,2019.0,20990.0,142600.0,neutral,white
BMW - X1,2024.0,43990.0,20000.0,neutral,tan
BMW - SERIE 1,2016.0,13990.0,121411.0,neutral,blue
